Entity,Buy/Sell,AgreedFx,Currency,InstructionDate,SettlementDate,Units,Price per unit
foo,B,0.5,SGP,01 Jun 2016,02 Jun 2018,200,100.25
foo,B,0.22,AED,05 Jun 2016,07 Jun 2018,450,150.5
foo1,B,0.5,SGP,01 Jun 2016,02 Jun 2018,200,100.25
xyz,B,0.5,SGP,01 Jun 2016,02 Jun 2018,100,100.25
bar,S,0.22,AED,05 Jun 2016,07 Jun 2018,450,150.5
bar1,S,0.22,AED,05 Jun 2016,07 Jun 2018,450,150.5
thomascook,B,0.35,SAR,05 Jun 2016,08 Jun 2018,40,150.5
thomascook,B,0.35,SAR,05 Jun 2016,10 Jun 2018,10,160
lloyds,B,12,USD,02 Jul 2018,02 Jul 2018,50,110
E1,B,0.128,HKD,02 Jul 2018,02 Jul 2018,100,20
E1,S,0.128,HKD,02 Jul 2018,02 Jul 2018,110,5
E2,B,0.325,JPY,02 Jul 2018,02 Jul 2018,10,220
E2,S,0.325,JPY,02 Jul 2018,02 Jul 2018,3,250
E3,B,0.078,CNY,02 Jul 2018,02 Jul 2018,220,12
E3,S,0.078,CNY,02 Jul 2018,02 Jul 2018,200,14
E4,B,0.523,MXN,02 Jul 2018,02 Jul 2018,100,23
E4,S,0.523,MXN,02 Jul 2018,02 Jul 2018,150,25
